Country,variable,sum,log2,total,perc,Group
Bangladesh,IRBB4,211,7.721099189,384,0.549479167,South & East Asia
Bangladesh,IRBB5,211,7.721099189,384,0.549479167,South & East Asia
Bangladesh,IRBB7,211,7.721099189,384,0.549479167,South & East Asia
Bangladesh,IRBB10,136,7.087462841,384,0.354166667,South & East Asia
Bangladesh,IRBB13,286,8.159871337,384,0.744791667,South & East Asia
Bangladesh,IRBB14,211,7.721099189,384,0.549479167,South & East Asia
Bangladesh,IRBB21,361,8.495855027,384,0.940104167,South & East Asia
Burundi,IRBB4,122,6.930737338,544,0.224264706,Africa
Burundi,IRBB5,122,6.930737338,544,0.224264706,Africa
Burundi,IRBB7,68,6.087462841,544,0.125,Africa
Burundi,IRBB10,68,6.087462841,544,0.125,Africa
Burundi,IRBB13,170,7.409390936,544,0.3125,Africa
Burundi,IRBB14,122,6.930737338,544,0.224264706,Africa
Burundi,IRBB21,171,7.417852515,544,0.314338235,Africa
Cambodia,IRBB4,198,7.62935662,332,0.596385542,Southeast Asia
Cambodia,IRBB5,198,7.62935662,332,0.596385542,Southeast Asia
Cambodia,IRBB7,177,7.46760555,332,0.53313253,Southeast Asia
Cambodia,IRBB10,169,7.400879436,332,0.509036145,Southeast Asia
Cambodia,IRBB13,175,7.451211112,332,0.527108434,Southeast Asia
Cambodia,IRBB14,198,7.62935662,332,0.596385542,Southeast Asia
Cambodia,IRBB21,187,7.54689446,332,0.563253012,Southeast Asia
China,IRBB4,116,6.857980995,180,0.644444444,South & East Asia
China,IRBB5,171,7.417852515,180,0.95,South & East Asia
China,IRBB7,35,5.129283017,180,0.194444444,South & East Asia
China,IRBB10,1,0,180,0.005555556,South & East Asia
China,IRBB13,3,1.584962501,180,0.016666667,South & East Asia
China,IRBB14,80,6.321928095,180,0.444444444,South & East Asia
China,IRBB21,2,1,180,0.011111111,South & East Asia
India,IRBB4,198,7.62935662,604,0.32781457,South & East Asia
India,IRBB5,204,7.672425342,604,0.337748344,South & East Asia
India,IRBB7,170,7.409390936,604,0.281456954,South & East Asia
India,IRBB10,150,7.22881869,604,0.248344371,South & East Asia
India,IRBB13,286,8.159871337,604,0.473509934,South & East Asia
India,IRBB14,159,7.312882955,604,0.263245033,South & East Asia
India,IRBB21,294,8.199672345,604,0.486754967,South & East Asia
Indonesia,IRBB4,510,8.994353437,1068,0.47752809,Southeast Asia
Indonesia,IRBB5,515,9.008428622,1068,0.482209738,Southeast Asia
Indonesia,IRBB7,465,8.861086906,1068,0.435393258,Southeast Asia
Indonesia,IRBB10,454,8.826548487,1068,0.425093633,Southeast Asia
Indonesia,IRBB13,604,9.238404739,1068,0.565543071,Southeast Asia
Indonesia,IRBB14,506,8.982993575,1068,0.473782772,Southeast Asia
Indonesia,IRBB21,619,9.273795599,1068,0.579588015,Southeast Asia
Kenya,IRBB4,50,5.64385619,156,0.320512821,Africa
Kenya,IRBB5,50,5.64385619,156,0.320512821,Africa
Kenya,IRBB7,11,3.459431619,156,0.070512821,Africa
Kenya,IRBB10,11,3.459431619,156,0.070512821,Africa
Kenya,IRBB13,77,6.266786541,156,0.493589744,Africa
Kenya,IRBB14,50,5.64385619,156,0.320512821,Africa
Kenya,IRBB21,77,6.266786541,156,0.493589744,Africa
Madagascar,IRBB4,39,5.285402219,78,0.5,Africa
Madagascar,IRBB5,39,5.285402219,78,0.5,Africa
Madagascar,IRBB7,32,5,78,0.41025641,Africa
Madagascar,IRBB10,32,5,78,0.41025641,Africa
Madagascar,IRBB13,47,5.554588852,78,0.602564103,Africa
Madagascar,IRBB14,39,5.285402219,78,0.5,Africa
Madagascar,IRBB21,47,5.554588852,78,0.602564103,Africa
Myanmar,IRBB4,126,6.977279923,276,0.456521739,Southeast Asia
Myanmar,IRBB5,126,6.977279923,276,0.456521739,Southeast Asia
Myanmar,IRBB7,118,6.882643049,276,0.427536232,Southeast Asia
Myanmar,IRBB10,116,6.857980995,276,0.420289855,Southeast Asia
Myanmar,IRBB13,173,7.434628228,276,0.626811594,Southeast Asia
Myanmar,IRBB14,125,6.965784285,276,0.452898551,Southeast Asia
Myanmar,IRBB21,179,7.483815777,276,0.648550725,Southeast Asia
Pakistan,IRBB4,251,7.971543554,341,0.736070381,South & East Asia
Pakistan,IRBB5,251,7.971543554,341,0.736070381,South & East Asia
Pakistan,IRBB7,248,7.95419631,341,0.727272727,South & East Asia
Pakistan,IRBB10,245,7.936637939,341,0.718475073,South & East Asia
Pakistan,IRBB13,256,8,341,0.750733138,South & East Asia
Pakistan,IRBB14,250,7.965784285,341,0.73313783,South & East Asia
Pakistan,IRBB21,259,8.016808288,341,0.759530792,South & East Asia
Philippines,IRBB4,1138,10.15228484,2243,0.507356219,Southeast Asia
Philippines,IRBB5,1183,10.20823436,2243,0.527418636,Southeast Asia
Philippines,IRBB7,1075,10.07012094,2243,0.479268836,Southeast Asia
Philippines,IRBB10,993,9.955649908,2243,0.442710655,Southeast Asia
Philippines,IRBB13,1130,10.14210706,2243,0.503789568,Southeast Asia
Philippines,IRBB14,1068,10.06069593,2243,0.476148016,Southeast Asia
Philippines,IRBB21,1292,10.33539035,2243,0.576014267,Southeast Asia
Tanzania,IRBB4,300,8.22881869,691,0.434153401,Africa
Tanzania,IRBB5,300,8.22881869,691,0.434153401,Africa
Tanzania,IRBB7,2,1,691,0.002894356,Africa
Tanzania,IRBB10,2,1,691,0.002894356,Africa
Tanzania,IRBB13,319,8.317412614,691,0.461649783,Africa
Tanzania,IRBB14,300,8.22881869,691,0.434153401,Africa
Tanzania,IRBB21,319,8.317412614,691,0.461649783,Africa
Thailand,IRBB4,6,2.584962501,32,0.1875,Southeast Asia
Thailand,IRBB5,19,4.247927513,32,0.59375,Southeast Asia
Thailand,IRBB7,16,4,32,0.5,Southeast Asia
Thailand,IRBB10,3,1.584962501,32,0.09375,Southeast Asia
Thailand,IRBB13,14,3.807354922,32,0.4375,Southeast Asia
Thailand,IRBB14,9,3.169925001,32,0.28125,Southeast Asia
Thailand,IRBB21,13,3.700439718,32,0.40625,Southeast Asia
Uganda,IRBB4,13,3.700439718,79,0.164556962,Africa
Uganda,IRBB5,13,3.700439718,79,0.164556962,Africa
Uganda,IRBB7,7,2.807354922,79,0.088607595,Africa
Uganda,IRBB10,7,2.807354922,79,0.088607595,Africa
Uganda,IRBB13,12,3.584962501,79,0.151898734,Africa
Uganda,IRBB14,12,3.584962501,79,0.151898734,Africa
Uganda,IRBB21,12,3.584962501,79,0.151898734,Africa
Vietnam,IRBB4,253,7.982993575,457,0.553610503,Southeast Asia
Vietnam,IRBB5,253,7.982993575,457,0.553610503,Southeast Asia
Vietnam,IRBB7,237,7.888743249,457,0.518599562,Southeast Asia
Vietnam,IRBB10,235,7.876516947,457,0.514223195,Southeast Asia
Vietnam,IRBB13,341,8.413627929,457,0.746170678,Southeast Asia
Vietnam,IRBB14,252,7.977279923,457,0.551422319,Southeast Asia
Vietnam,IRBB21,352,8.459431619,457,0.7702407,Southeast Asia
